geo_code,average,x,y
02050109,0.123,502553.42164333625,4559239.773150001
02050110,0.123,502870.5305614027,4567983.828
02050111,0.053,487349.16590304667,4556323.183
02050201,0.127,505351.57569105015,4544930.693
02050202,0.129,504086.598153048,4550948.714
02050203,0.142,507535.0991178466,4542804.021
02050204,0.057,500350.0760332079,4550577.88
02050205,0.086,499957.5569,4553266.530499999
02050206,0.067,496118.45965570497,4549102.975
02050207,0.112,502261.7170335136,4550488.497
03010101,0.169,658194.2335373219,4528328.318
03010102,0.143,661432.0091,4533729.286
03010103,0.077,663924.0891470341,4544466.852
03010104,0.054,652305.0739017405,4536819.434
03010105,0.101,644073.4206032542,4526399.627
03010106,0.13,642566.9155039096,4532549.307
03010201,0.125,668300.1733325076,4523197.064750001
03010202,0.113,667062.8447914321,4530899.832
03010203,0.076,671564.8097365019,4524065.551
03010204,0.093,670525.8761155917,4535064.949
03010301,0.147,683511.8936224992,4526127.392
03010302,0.124,686428.3710520419,4533249.103
03010303,0.232,677763.8792754087,4519666.205
03010304,0.597,682049.7551591559,4533949.1
03010305,0.114,691316.2641464332,4534619.154
03010306,0.119,677179.9543700402,4534927.372599999
03010307,0.039,685687.6928792153,4537492.957
03020101,0.176,708404.6137414417,4580442.419
03020102,0.02,696908.2956479723,4579104.846949999
03020103,0.056,713110.2605291482,4585387.8
03020104,0.4,708389.9377304704,4587601.319449999
03020105,0.063,712459.3374134866,4582069.444
03020106,0.017,702747.0645846743,4586428.158
03020107,0.418,702858.2358049839,4580495.047
03020108,0.131,699545.8612549048,4580721.192
03020109,0.03,701189.2611201035,4588610.9833
03020110,0.05,718199.4954782927,4580068.088
03020111,0.013,698217.2607169566,4590721.685
03020112,0.062,714881.8690329231,4580336.716
03020113,0.06,717461.4607913049,4585469.084
03020114,0.07,696058.1570726788,4593670.685
03020115,0.049,714876.685,4588960.21
03020201,0.084,683454.4605582873,4585499.626
03020202,0.12,684349.3478780068,4592348.09
03020203,0.08,691420.0943,4584871.675
03020204,0.107,695572.4524871304,4585368.592
03020205,0.077,689738.0869731992,4593946.351
03020206,0.045,693144.0936202197,4592933.978
03020207,0.0,688314.4091093866,4592229.539
03020208,0.04,687893.7248801938,4585601.107849999
03030101,0.155,710983.7938967817,4597057.574
03030102,0.025,698779.8343853557,4596792.17
03030103,0.119,698151.8392598291,4601021.015
03030104,0.078,713678.3486012799,4590906.097549999
03030105,0.073,690515.8864760641,4598964.923099999
03030106,0.09,716083.8064618943,4592628.828
03030107,0.126,702926.7716908865,4597957.024
03030108,0.027,692913.1228930545,4599936.946900001
03030201,0.097,712877.5432193966,4606316.005
03030202,0.275,709802.1769521802,4604185.70315
03030203,0.094,707350.0578540459,4610891.686
03030204,0.168,701515.7700431453,4609240.062949999
03030205,0.058,703438.3047,4604599.947
03030301,0.084,686032.6461419719,4602880.718950001
03030302,0.11362453045892536,683061.4249770388,4601293.543
03030303,0.051,684891.5361305156,4597538.359
03030304,0.349,694362.9114880622,4605777.912
03030401,0.038,694375.1004937196,4616986.617
03030402,0.074,699024.1871295087,4613450.837
03030403,0.032,691141.4590003964,4610105.799
03030404,0.0,681541.1940740822,4606211.783
03030405,0.098,686212.6062364248,4608260.147
03030406,0.062,704287.2760418005,4615400.02
03030407,0.0,680243.1227369211,4604080.328
03030408,0.055,682338.8720197608,4620556.805799999
03030409,0.044,680713.8448535267,4611999.971
03030410,0.024,676490.5710722934,4616287.021
03030411,0.48,694672.9945931137,4611711.11325
03030412,0.038,685738.0359161017,4617988.927
03030413,0.03,690483.7398,4613713.957099999
03040000,0.136,634156.9788489317,4478758.841
03050101,0.159,685069.6507292257,4565973.309
03050102,0.098,677259.4861563484,4552672.672
03050103,0.117,692221.2218316677,4557488.669
03050104,0.038,692672.2842057004,4550056.664
03050105,0.102,691684.2371459687,4554258.168
03050201,0.091,698779.2140530592,4573351.198
03050202,0.07,703642.0160616823,4575044.801
03050203,0.0,683347.1912396611,4573760.650599999
03050204,0.089,694893.1472723121,4572106.786
03050205,0.105,687041.4739747846,4579590.099149999
03050206,0.173,668312.1421808016,4567479.688
03050207,0.29,689766.8112672077,4571724.592
03050301,0.12,694908.9004962754,4542546.740999999
03050302,0.02,681305.8977965461,4544831.005
03050303,0.025,689825.0235870025,4549235.506
03050304,0.331,688920.5097,4544250.1872000005
03050305,0.077,691928.3466789236,4546262.044
04010001,0.124,558747.0162251214,4512802.207
04010002,0.114,557923.3472401411,4497542.194750001
04010003,0.13,546860.5671855919,4504099.808999999
04010004,0.137,554134.4784805679,4501613.958
04010005,0.11,548548.7420790037,4501960.5978500005
04010006,0.127,562026.2144563464,4509967.484
04010007,0.134,562045.1585,4506102.627
04010008,0.142,550865.8060866045,4509164.1620000005
04010009,0.107,552910.5818061233,4512709.587
04010010,0.134,547329.6777639864,4507499.947
05010101,0.145,531349.8017,4530878.9125500005
05010102,0.157,542973.0876593387,4538567.139
05010103,0.165,538756.9705051624,4538629.596
05010201,0.131,524511.5171262687,4539787.511
05010202,0.159,531054.4143015312,4534193.665
05010203,0.141,531989.6207682644,4539228.736
05010204,0.0,537350.3908148272,4542996.755100001
05010205,0.128,530974.3332727705,4541280.113
05010206,0.051,535812.3255340123,4549049.354300001
05010207,0.127,523652.9763253548,4542420.269
05010208,0.066,535026.4031366238,4540911.956
05010209,0.0,539681.9908069562,4547125.495
05010210,0.115,527233.8273283145,4535540.748849999
05010211,0.118,527298.2977383352,4538986.929
05020101,0.141,560173.3264514457,4535377.277
05020102,0.075,559836.9496359986,4545219.028
05020103,0.104,556664.8316996382,4541044.549
05020104,0.135,555644.8254376089,4536436.418
05020105,0.033,561576.5170242016,4546124.71
